AK-109_bins,AK-109,AK5C_bins,AK5C,AK-74_bins,AK-74,AKM_bins,AKM,AKS74-U_bins,AKS74-U,AS VAL_bins,AS VAL,AUG A1_bins,AUG A1,SKS Auto_bins,SKS Auto,Famas-G2_bins,Famas-G2,G36k_bins,G36k,G3A3_bins,G3A3,Galil_bins,Galil,L85A2_bins,L85A2,M16A2_bins,M16A2,M4_bins,M4,SCAR-L_bins,SCAR-L,SG552_bins,SG552,Stoner 63_bins,Stoner 63,VSS_bins,VSS,Agram 2000_bins,Agram 2000,CX8 Storm_bins,CX8 Storm,Vector 10mm_bins,Vector 10mm,Vector 9mm_bins,Vector 9mm,Luty_bins,Luty,MAC-10_bins,MAC-10,MAC-11_bins,MAC-11,MAT-49_bins,MAT-49,MP40_bins,MP40,MP5_bins,MP5,MP7_bins,MP7,MP9_bins,MP9,MPX JW_bins,MPX JW,FNP90_bins,FNP90,PP-19 Bizon_bins,PP-19 Bizon,PPSH_bins,PPSH,Thompson 1928_bins,Thompson 1928,UMP45_bins,UMP45,UMP45 Reaper_bins,UMP45 Reaper,BAR_bins,BAR,XM250_bins,XM250,M1A SASS_bins,M1A SASS,SKS_bins,SKS,AWM_bins,AWM,Mosin_bins,Mosin,Springfield_bins,Springfield,Hunter_bins,Hunter,C1911_bins,C1911,Deagle_bins,Deagle,5-7_bins,5-7,Glock 17_bins,Glock 17,Makarov_bins,Makarov,Ruger_bins,Ruger,Tokarev_bins,Tokarev,USP_bins,USP,JW 2011_bins,JW 2011,JW G34_bins,JW G34,SVD_bins,SVD,Barrett_bins,Barrett
4032,89,4080,78,4512,72,4608,63,4608,72,2940,66,3995,45,3055,60,2745,61,4505,32,4180,73,5060,61,3675,72,2880,61,3024,68,4848,64,3290,59,4165,67,2820,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4560,73,3510,1,38,74,46,50,,,38,63,39,132,38,60,,,,,,,,,,,,,,,,,,,,,38,73,,
4128,115,4165,66,4608,65,4704,62,4704,61,3000,69,4080,47,3120,67,2806,54,4590,41,4290,60,5170,68,3750,87,2940,75,3087,60,4949,62,3360,59,4250,64,2880,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4680,74,3600,4,39,61,47,67,,,39,72,40,120,39,60,,,,,,,,,,,,,,,,,,,,,39,59,,
4224,94,4250,73,4704,69,4800,74,4800,60,3060,77,4165,88,3185,63,2867,78,4675,45,4400,57,5280,65,3825,68,3000,68,3150,70,5050,68,3430,65,4335,69,2940,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4800,59,3780,1,40,47,48,60,,,40,53,41,106,40,49,,,,,,,,,,,,,,,,,,,,,40,65,,
4320,112,4335,64,4800,75,4896,72,4896,72,3120,65,4250,79,3250,54,2928,63,4760,36,4510,40,5390,76,3900,72,3060,67,3213,67,5151,67,3500,68,4420,67,3000,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4920,41,3870,1,41,54,49,70,,,41,38,42,120,41,40,,,,,,,,,,,,,,,,,,,,,41,44,,
4416,98,4420,68,4896,61,4992,86,4992,74,3180,69,4335,70,3315,76,2989,69,4845,37,4620,42,5500,71,3975,76,3120,79,3276,64,5252,81,3570,73,4505,69,3060,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5040,37,3960,1,42,48,50,71,,,42,39,43,84,42,48,,,,,,,,,,,,,,,,,,,,,42,53,,
4512,99,4505,80,4992,82,5088,66,5088,78,3240,71,4420,62,3380,78,3050,71,4930,38,4730,34,5610,77,4050,70,3180,72,3339,82,5353,80,3640,67,4590,76,3120,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5160,37,4140,1,43,41,51,64,,,43,39,44,76,43,47,,,,,,,,,,,,,,,,,,,,,43,31,,
4608,118,4590,75,5088,49,5184,83,5184,74,3300,66,4505,55,3445,69,3111,80,5015,50,4840,26,5720,77,4125,75,3240,92,3402,80,5454,74,3710,68,4675,80,3180,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5280,38,4230,1,44,34,52,63,,,44,40,45,75,44,41,,,,,,,,,,,,,,,,,,,,,44,22,,
4704,119,4675,62,5184,76,5280,80,5280,88,3360,77,4590,64,3510,75,3172,78,5100,59,4950,28,5830,73,4200,72,3300,81,3465,84,5555,92,3780,81,4760,88,3240,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5400,44,4410,2,45,42,53,78,,,45,27,46,74,45,19,,,,,,,,,,,,,,,,,,,,,45,32,,
4800,115,4760,85,5280,85,5376,83,5376,80,3420,78,4675,73,3575,76,3233,78,5185,40,5060,30,5940,82,4275,73,3360,66,3528,59,5656,87,3850,79,4845,67,3300,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5520,25,4680,1,46,26,54,81,,,46,28,47,53,46,31,,,,,,,,,,,,,,,,,,,,,46,25,,
4896,105,4845,87,5376,87,5472,56,5472,67,3480,100,4760,105,3640,83,3294,78,5270,55,5170,25,6050,86,4350,82,3420,76,3591,84,5757,93,3920,64,4930,81,3360,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5640,31,,,47,27,55,72,,,47,32,48,52,47,28,,,,,,,,,,,,,,,,,,,,,47,35,,
4992,98,4930,88,5472,68,5568,83,5568,74,3540,76,4845,77,3705,100,3355,73,5355,52,5280,17,6160,82,4425,86,3480,87,3654,93,5858,78,3990,79,5015,86,3420,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5760,14,,,48,22,56,73,,,48,25,49,57,48,34,,,,,,,,,,,,,,,,,,,,,48,28,,
5088,116,5015,65,5568,74,5664,96,5664,75,3600,106,4930,85,3770,64,3416,91,5440,65,5390,20,6270,91,4500,83,3540,75,3717,89,5959,70,4060,90,5100,84,3480,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5880,18,,,49,16,57,79,,,49,21,50,47,49,16,,,,,,,,,,,,,,,,,,,,,49,30,,
5184,126,5100,81,5664,86,5760,91,5760,89,3660,86,5015,87,3835,75,3477,72,5525,52,5500,25,6380,89,4575,89,3600,75,3780,94,6060,75,4130,95,5185,68,3540,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000,19,,,50,25,58,69,,,50,24,51,48,50,21,,,,,,,,,,,,,,,,,,,,,50,9,,
5280,107,5185,91,5760,84,5856,93,5856,88,3720,97,5100,79,3900,90,3538,92,5610,44,5610,12,6490,76,4650,76,3660,102,3843,75,6161,113,4200,92,5270,91,3600,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6120,17,,,51,18,59,82,,,51,15,52,43,51,17,,,,,,,,,,,,,,,,,,,,,51,17,,
5376,107,5270,98,5856,90,5952,104,5952,76,3780,86,5185,71,3965,81,3599,90,5695,56,5720,10,6600,85,4725,67,3720,85,3906,91,6262,85,4270,91,5355,87,3660,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6240,10,,,52,12,60,87,,,52,15,53,34,52,13,,,,,,,,,,,,,,,,,,,,,52,12,,
5472,120,5355,97,5952,104,6048,69,6048,97,3840,88,5270,93,4030,88,3660,70,5780,75,5830,10,6710,75,4800,93,3780,94,3969,104,6363,70,4340,85,5440,91,3720,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6360,9,,,53,12,61,95,,,53,15,54,25,53,8,,,,,,,,,,,,,,,,,,,,,53,13,,
5568,116,5440,99,6048,103,6144,111,6144,100,3900,99,5355,99,4095,96,3721,109,5865,79,5940,10,6820,86,4875,97,3840,100,4032,92,6464,72,4410,80,5525,76,3780,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6480,13,,,54,12,62,92,,,54,6,55,25,54,9,,,,,,,,,,,,,,,,,,,,,54,13,,
5664,105,5525,77,6144,92,6240,87,6240,99,3960,106,5440,101,4160,102,3782,82,5950,71,6050,12,6930,107,4950,79,3900,103,4095,90,6565,91,4480,90,5610,120,3840,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6600,11,,,55,9,63,73,,,55,11,56,26,55,6,,,,,,,,,,,,,,,,,,,,,55,10,,
5760,123,5610,79,6240,92,6336,99,6336,85,4020,80,5525,107,4225,94,3843,98,6035,63,6160,8,7040,90,5025,91,3960,92,4158,73,6666,96,4550,105,5695,103,3900,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6720,5,,,56,14,64,100,,,56,12,57,21,56,7,,,,,,,,,,,,,,,,,,,,,56,8,,
5856,113,5695,78,6336,94,6432,105,6432,105,4080,99,5610,102,4290,102,3904,102,6120,66,6270,7,7150,84,5100,99,4020,104,4221,87,6767,103,4620,97,5780,100,3960,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6840,6,,,57,7,65,92,,,57,6,58,24,57,4,,,,,,,,,,,,,,,,,,,,,57,5,,
5952,98,5780,101,6432,79,6528,83,6528,99,4140,97,5695,91,4355,94,3965,105,6205,80,6380,7,7260,85,5175,95,4080,99,4284,88,6868,102,4690,89,5865,84,4020,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6960,5,,,58,4,66,100,,,58,4,59,13,58,4,,,,,,,,,,,,,,,,,,,,,58,8,,
6048,140,5865,94,6528,84,6624,110,6624,111,4200,97,5780,94,4420,85,4026,88,6290,71,6490,5,7370,83,5250,111,4140,96,4347,108,6969,84,4760,93,5950,98,4080,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7080,3,,,59,9,67,91,,,59,7,60,18,59,4,,,,,,,,,,,,,,,,,,,,,59,2,,
6144,101,5950,97,6624,109,6720,94,6720,86,4260,88,5865,88,4485,91,4087,89,6375,68,6600,5,7480,90,5325,100,4200,101,4410,91,7070,92,4830,91,6035,100,4140,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7200,7,,,60,3,68,94,,,60,2,61,8,60,4,,,,,,,,,,,,,,,,,,,,,60,3,,
6240,106,6035,101,6720,99,6816,113,6816,119,4320,96,5950,104,4550,73,4148,83,6460,69,6710,5,7590,88,5400,120,4260,114,4473,102,7171,89,4900,113,6120,90,4200,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7320,3,,,61,3,69,106,,,61,7,62,9,61,5,,,,,,,,,,,,,,,,,,,,,61,7,,
6336,110,6120,106,6816,104,6912,85,6912,95,4380,115,6035,106,4615,100,4209,115,6545,86,6820,2,7700,86,5475,102,4320,106,4536,98,7272,104,4970,87,6205,89,4260,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440,2,,,62,1,70,90,,,62,2,63,9,62,7,,,,,,,,,,,,,,,,,,,,,62,2,,
6432,100,6205,91,6912,100,7008,94,7008,105,4440,95,6120,98,4680,116,4270,111,6630,77,6930,4,7810,84,5550,103,4380,106,4599,98,7373,94,5040,84,6290,95,4320,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7560,4,,,63,3,71,109,,,63,3,64,13,63,2,,,,,,,,,,,,,,,,,,,,,63,3,,
6528,107,6290,100,7008,78,7104,108,7104,104,4500,82,6205,89,4745,99,4331,87,6715,77,7040,3,7920,87,5625,110,4440,87,4662,104,7474,105,5110,102,6375,103,4380,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7680,3,,,64,2,72,80,,,64,2,65,13,64,4,,,,,,,,,,,,,,,,,,,,,64,2,,
6624,113,6375,97,7104,86,7200,85,7200,86,4560,105,6290,107,4810,97,4392,100,6800,93,7150,2,8030,98,5700,100,4500,82,4725,100,7575,97,5180,114,6460,123,4440,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7800,2,,,65,3,73,87,,,65,1,66,9,65,1,,,,,,,,,,,,,,,,,,,,,65,3,,
